#{"t_start": 1710787735.6762125, "env_id": "None"}
r,l,t
-798.7,44,843.336144
-8508.6,207,843.669622
-797.6,43,843.714512
-2207.5,80,846.308955
-797.6,43,846.378332
-495.4,35,846.423325
-2206.4,79,846.584429
-1705.3,68,846.690055
-1250.9,55,846.753264
-1350.9,57,846.851997
-444.3,33,846.914948
-449.8,38,846.986764
-4508.6,127,847.105577
-1556.4,66,847.2173
-3008.6,97,847.357062
-1304.2,59,847.446047
-2255.3,79,847.639245
-2106.4,77,847.771008
-2106.4,77,847.868136
-1303.1,58,847.932604
-643.2,36,848.001473
-1252.0,56,848.107118
-2406.4,83,848.206892
-1249.8,54,848.262565
-1653.1,65,848.370366
-852.0,48,848.458016
-3706.4,109,848.636772
-646.5,39,848.69145
-3106.4,97,848.870175
-4057.5,117,849.002296
-2856.4,92,849.154798
-346.5,33,849.185565
-752.0,46,849.251902
-1254.2,58,851.637597
-443.2,32,851.670425
-1404.2,61,851.75718
-2205.3,78,851.843285
-495.4,35,851.911388
-1754.2,68,852.060699
-2206.4,79,852.187735
-342.1,29,852.24417
-2155.3,77,852.362113
-1350.9,57,852.417157
-495.4,35,852.452188
-5607.5,148,852.634653
-2657.5,89,852.795147
-646.5,39,852.847825
-1205.3,58,852.958998
-3808.6,113,853.121483
-1804.2,69,853.193445
-4108.6,119,853.42976
-1348.7,55,853.537445
-2456.4,84,853.673584
-4207.5,120,853.823193
-749.8,44,853.858983
-446.5,35,853.894115
-899.8,47,853.961552
-1303.1,58,854.097626
-1304.2,59,854.219055
-750.9,45,854.324222
-1352.0,58,854.440114
-4108.6,119,854.606273
-1000.9,50,854.672524
-1249.8,54,854.759871
-1504.2,63,857.22878
-698.7,42,857.294574
-1105.3,56,857.376691
-2005.3,74,857.523833
-696.5,40,857.628902
-747.6,42,857.748742
-1657.5,69,857.876904
-3608.6,109,857.97859
-1402.0,59,858.034002
-4006.4,115,858.160554
-1253.1,57,858.244966
-1404.2,61,858.383838
-697.6,41,858.451914
-1804.2,69,858.568532
-2857.5,93,858.729092
-597.6,39,858.791634
-3657.5,109,858.941483
-895.4,43,858.983905
-4057.5,117,859.175497
-2958.6,96,859.332518
-442.1,31,859.41396
-2104.2,75,859.579043
-4507.5,126,859.748977
-1248.7,53,859.822911
-1306.4,61,859.967804
-1354.2,60,860.12515
-1455.3,63,860.272907
-4158.6,120,860.404297
-696.5,40,860.451959
-191.0,25,860.485294
-3756.4,110,863.033634
-3606.4,107,863.158965
-3055.3,95,863.316962
-5007.5,136,863.465848
-1606.4,67,863.586035
-1855.3,71,863.707769
-1100.9,52,863.768628
-1152.0,54,863.865217
-1102.0,53,864.023256
-1954.2,72,864.11415
-2956.4,94,864.202446
-1703.1,66,864.326997
-2655.3,87,864.473577
-1153.1,55,864.537825
-1302.0,57,864.638864
-903.1,50,864.69054
-3557.5,107,864.817999
-339.9,27,864.851199
-1402.0,59,864.908488
-742.1,37,864.944295
-1652.0,64,865.085295
-546.5,37,865.134892
-1300.9,56,865.209281
-444.3,33,865.262856
-2205.3,78,865.444216
-952.0,50,865.567552
-395.4,33,865.622784
-1350.9,57,865.7269
-389.9,28,865.789282
-441.0,30,865.863759
-1002.0,51,865.962985
-3408.6,105,868.622794
-1203.1,56,868.700767
-2858.6,94,868.821688
-2205.3,78,868.975358
-547.6,38,869.079241
-3456.4,104,869.26032
-1649.8,62,869.37619
-1555.3,65,869.479072
-1504.2,63,869.563439
-1450.9,59,869.689704
-2557.5,87,869.801148
-4358.6,124,870.006927
-1553.1,63,870.083165
-2255.3,79,870.224709
-1555.3,65,870.308047
-1655.3,67,870.363901
-946.5,45,870.413331
-950.9,49,870.525691
-5808.6,153,870.703393
-245.4,30,870.727876
-1449.8,58,870.789216
-2206.4,79,870.95049
-344.3,31,871.01037
-2756.4,90,871.175418
-3958.6,116,871.332642
-2054.2,74,871.404286
-2505.3,84,871.513629
-4757.5,131,874.00175
-1549.8,60,874.093896
-904.2,51,874.173394
-189.9,24,874.207349
-1956.4,74,874.353516
-1904.2,71,874.519088
-850.9,47,874.632102
-1555.3,65,874.766169
-1650.9,63,874.864367
-4306.4,121,874.947049
-4208.6,121,875.148191
-596.5,38,875.1943
-42.1,23,875.226164
-4956.4,134,875.369308
-7758.6,192,875.586513
-799.8,45,875.629893
-3506.4,105,875.758571
-3205.3,98,875.892231
-1052.0,52,875.931157
-799.8,45,875.970716
-748.7,43,876.011291
-695.4,39,876.052471
-2656.4,88,876.172164
-1056.4,56,876.329439
-4056.4,116,876.474545
-1000.9,50,876.584202
-1046.5,47,876.628228
-1294.3,50,876.670872
-1154.2,56,876.72385
-1203.1,56,876.775886
-1453.1,61,879.249189
-647.6,40,879.305688
-1199.8,53,879.387874
-1300.9,56,879.455299
-1352.0,58,879.560215
-5208.6,141,879.734596
-1206.4,59,879.8001
-494.3,34,879.854205
-1902.0,69,879.978409
-996.5,46,880.074519
-445.4,34,880.133566
-641.0,34,880.199356
-2254.2,78,880.363303
-1596.5,58,880.466624
-394.3,32,880.547431
-1704.2,67,880.662588
-3605.3,106,880.846205
-3056.4,96,880.949999
-493.2,33,880.986175
-3958.6,116,881.137844
-1197.6,51,881.191272
-650.9,43,881.267918
-1004.2,53,881.37775
-442.1,31,881.421454
-2658.6,90,881.571157
-2705.3,88,881.731252
-1756.4,70,881.806723
-1005.3,54,881.880284
-3657.5,109,882.064586
-547.6,38,882.101693
-1198.7,52,882.158019
-5258.6,142,884.727165
-249.8,34,884.77187
-1405.3,62,884.8577
-1306.4,61,884.936353
-2505.3,84,885.077808
-953.1,51,885.13782
-4357.5,123,885.227699
-1505.3,64,885.274054
-241.0,26,885.329293
-2406.4,83,885.462788
-446.5,35,885.510737
-1099.8,51,885.579996
-4457.5,125,885.735616
-898.7,46,885.778724
-1350.9,57,885.845134
-2657.5,89,885.975592
-1403.1,60,886.051052
-2058.6,78,886.267916
-5258.6,142,886.449994
-1906.4,73,886.532496
-1656.4,68,886.610599
-1604.2,65,886.670619
-4507.5,126,886.899076
-2754.2,88,887.055317
-894.3,42,887.162486
-37.7,19,887.199206
-498.7,38,887.269678
-2004.2,73,887.389036
-1496.5,56,887.490259
-797.6,43,887.569222
-597.6,39,887.641116
-394.3,32,890.038439
-3608.6,109,890.199606
-845.4,42,890.262972
-2456.4,84,890.449416
-1850.9,67,890.570962
-1155.3,57,890.699948
-247.6,32,890.767625
-700.9,44,890.893112
-4608.6,129,891.177739
-648.7,41,891.226951
-347.6,34,891.287323
-952.0,50,891.379257
-3706.4,109,891.578329
-2804.2,89,891.73027
-1000.9,50,891.771779
-93.2,25,891.800337
-2304.2,79,891.940146
-1852.0,68,891.997138
-1555.3,65,892.049884
-347.6,34,892.13993
-6408.6,165,892.35374
-1604.2,65,892.424806
-2056.4,76,892.583339
-44.3,25,892.622318
-547.6,38,892.716957
-3006.4,95,892.864163
-999.8,49,892.923939
-3008.6,97,893.099294
-904.2,51,893.196988
-1202.0,55,893.337783
-1252.0,56,893.434729
-2106.4,77,895.511847
-5107.5,138,895.66044
-136.6,20,895.683897
-3308.6,103,895.808652
-2456.4,84,895.988227
-2154.2,76,896.174054
-1406.4,63,896.290199
-749.8,44,896.359801
-648.7,41,896.448842
-3756.4,110,896.663145
-794.3,40,896.743281
-2103.1,74,896.919947
-647.6,40,897.002057
-1953.1,71,897.110128
-644.3,37,897.159704
-2355.3,81,897.308781
-547.6,38,897.377376
-2457.5,85,897.523415
-1250.9,55,897.6201
-1698.7,62,897.739537
-1356.4,62,897.848471
-500.9,40,897.921487
-954.2,52,898.048682
-3907.5,114,898.241251
-1906.4,73,898.380336
-799.8,45,898.46316
-1503.1,62,898.579436
-2358.6,84,898.716748
-1703.1,66,898.836916
-3806.4,111,898.983281
-3558.6,108,901.448661
-948.7,47,901.534944
-4907.5,134,901.693333
-498.7,38,901.73556
-2154.2,76,901.868774
-648.7,41,901.978008
-1205.3,58,902.101925
-1752.0,66,902.213712
-3456.4,104,902.367261
-997.6,47,902.416812
-4053.1,113,902.530987
-854.2,50,902.59182
-700.9,44,902.671479
-1450.9,59,902.761393
-443.2,32,902.821397
-1655.3,67,902.926842
-1554.2,64,903.039485
-946.5,45,903.121754
-2805.3,90,903.233775
-241.0,26,903.265209
-1402.0,59,903.36838
-1657.5,69,903.527134
-3258.6,102,903.709631
-899.8,47,903.801731
-498.7,38,903.860241
-2154.2,76,903.946481
-5058.6,138,904.15061
-145.4,28,904.183053
-2002.0,71,904.318559
-3858.6,114,904.45817
-6158.6,160,907.104857
-1903.1,70,907.217702
-1300.9,56,907.296154
-2000.9,70,907.455084
-3455.3,103,907.65512
-3005.3,94,907.8182
-1905.3,72,907.998407
-1145.4,48,908.085888
-1355.3,61,908.15876
-247.6,32,908.189967
-796.5,42,908.248895
-3456.4,104,908.400428
-245.4,30,908.431379
-344.3,31,908.462253
-2606.4,87,908.6371
-1402.0,59,908.719955
-2054.2,74,908.785415
-3558.6,108,908.901772
-1145.4,48,908.961967
-2000.9,70,909.099772
-1154.2,56,909.215103
-696.5,40,909.311365
-1202.0,55,909.444102
-1354.2,60,909.571808
-2456.4,84,909.695578
-1904.2,71,909.84087
-445.4,34,909.90457
-545.4,36,909.998701
-1300.9,56,910.130005
-2307.5,82,910.27547
-4258.6,122,912.697438
-5007.5,136,912.85299
-3857.5,113,912.964935
-297.6,33,913.040232
-294.3,30,913.106087
-3608.6,109,913.274515
-1499.8,59,913.346277
-1350.9,57,913.441943
-186.6,21,913.482201
-950.9,49,913.595679
-1200.9,54,913.712054
-648.7,41,913.789612
-1000.9,50,913.880542
-2155.3,77,914.032398
-3656.4,108,914.175991
-752.0,46,914.243504
-550.9,41,914.298894
-191.0,25,914.32005
-1054.2,54,914.383182
-2406.4,83,914.541987
-852.0,48,914.626327
-444.3,33,914.726015
-1199.8,53,914.855721
-3307.5,102,915.039024
-91.0,23,915.08147
-947.6,46,915.190107
-952.0,50,915.284569
-2956.4,94,915.357402
-2858.6,94,915.423313
-852.0,48,915.496429
-189.9,24,915.540992
-1854.2,70,915.67671
-3457.5,105,915.89109
-146.5,29,915.959412
-898.7,46,918.412421
-3706.4,109,918.572954
-1250.9,55,918.647019
-1453.1,61,918.793148
-1295.4,51,918.856491
-2507.5,86,918.94099
-1855.3,71,919.053778
-41.0,22,919.095953
-1955.3,73,919.214793
-294.3,30,919.268015
-1148.7,51,919.349118
-1049.8,50,919.451647
-3556.4,106,919.613713
-1303.1,58,919.681733
-1403.1,60,919.806472
-2754.2,88,919.909159
-1750.9,65,920.023431
-4858.6,134,920.195904
-3107.5,98,920.420829
-3657.5,109,920.599446
-2356.4,82,920.691504
-3455.3,103,920.869108
-2904.2,91,920.988625
-1203.1,56,921.041831
-445.4,34,921.084038
-395.4,33,921.145504
-1453.1,61,921.252298
-2006.4,75,921.385231
-850.9,47,921.492393
-1850.9,67,921.611316
-6657.5,169,924.288195
-494.3,34,924.373938
-1052.0,52,924.474223
-1650.9,63,924.600505
-4458.6,126,924.813268
-1305.3,60,924.889289
-341.0,28,924.943655
-2157.5,79,925.14042
-4108.6,119,925.368546
-1503.1,62,925.471981
-2005.3,74,925.622199
-495.4,35,925.663241
-198.7,32,925.702928
-339.9,27,925.745119
-1905.3,72,925.816838
-1052.0,52,925.862502
-4207.5,120,926.044491
-697.6,41,926.109937
-697.6,41,926.190249
-2705.3,88,926.345165
-847.6,44,926.424602
-948.7,47,926.525208
-3008.6,97,926.740882
-2607.5,88,926.889303
-2307.5,82,926.978776
-598.7,40,927.049288
-799.8,45,927.151855
-1957.5,75,927.329617
-749.8,44,927.432126
-1004.2,53,927.527761
-7858.6,194,930.119217
-2655.3,87,930.23954
-699.8,43,930.357713
-1305.3,60,930.483137
-393.2,31,930.541018
-2254.2,78,930.682812
-136.6,20,930.733432
4.6,25,930.796953
-752.0,46,930.912555
-2107.5,78,931.054642
-1454.2,62,931.145382
-1204.2,57,931.285911
-2457.5,85,931.382456
-2304.2,79,931.519899
-1754.2,68,931.600188
-2305.3,80,931.724154
-647.6,40,931.815003
-799.8,45,931.897803
-1705.3,68,932.036569
-2606.4,87,932.188102
-5157.5,139,932.454021
-596.5,38,932.487407
-1655.3,67,932.598153
-241.0,26,932.665778
-900.9,48,932.785992
-138.8,22,932.840401
-647.6,40,932.92956
-2456.4,84,933.056396
-1050.9,51,933.129479
-1754.2,68,933.244767
-192.1,26,933.290903
-950.9,49,933.401768
-7307.5,182,936.241029
-1850.9,67,936.352333
-653.1,45,936.426858
-496.5,36,936.488204
-1650.9,63,936.595015
-1097.6,49,936.683796
-1954.2,72,936.82812
-1903.1,70,936.948071
-2707.5,90,937.152725
-87.7,20,937.190587
-752.0,46,937.301388
-6907.5,174,937.507226
-2455.3,83,937.578056
-339.9,27,937.627283
-2955.3,93,937.8208
-1303.1,58,937.940837
-1853.1,69,938.101237
-1752.0,66,938.261748
-1504.2,63,938.384618
-2456.4,84,938.517385
-2106.4,77,938.613714
-1854.2,70,938.71555
-3857.5,113,938.883361
-92.1,24,938.911042
-2258.6,82,938.997729
-299.8,35,939.037047
-1902.0,69,939.175859
-3256.4,100,939.290284
-1054.2,54,939.331043
-3456.4,104,941.672926
-1954.2,72,941.822143
-1556.4,66,941.905473
-242.1,27,941.951808
-3008.6,97,942.072157
-1398.7,56,942.161644
-2154.2,76,942.302577
11.2,19,942.344098
-545.4,36,942.442285
-395.4,33,942.528229
-841.0,38,942.634286
-1200.9,54,942.752888
-543.2,34,942.821417
-495.4,35,942.90413
-798.7,44,942.983161
-952.0,50,943.09506
-6508.6,167,943.249352
-3756.4,110,943.389066
-3708.6,111,943.580116
-2255.3,79,943.703085
-648.7,41,943.780034
-3307.5,102,943.934648
-852.0,48,944.010773
-3857.5,113,944.224596
-846.5,43,944.277704
-854.2,50,944.333395
-1756.4,70,944.396593
-2907.5,94,944.495476
-5558.6,148,944.60196
65.6,14,944.620174
-954.2,52,944.700952
-1402.0,59,947.112903
-3155.3,97,947.233828
-1754.2,68,947.311644
-699.8,43,947.356896
-1406.4,63,947.425778
-2102.0,73,947.531847
-2505.3,84,947.686885
-3107.5,98,947.83345
-395.4,33,947.891597
-1753.1,67,948.022716
-596.5,38,948.1108
-2102.0,73,948.283933
-949.8,48,948.402325
-2107.5,78,948.575212
-137.7,21,948.606443
-1555.3,65,948.691317
-7307.5,182,948.979996
-241.0,26,949.004121
-1253.1,57,949.093726
-2205.3,78,949.230025
-1902.0,69,949.350488
-5006.4,135,949.606487
-1408.6,65,949.704434
-700.9,44,949.800889
-1453.1,61,949.94171
-1102.0,53,950.014699
-345.4,32,950.055316
-3256.4,100,950.152524
-3256.4,100,950.229494
-1254.2,58,950.291955
-896.5,44,952.666874
-1653.1,65,952.780643
-2053.1,73,952.898148
-4755.3,129,953.16053
-1155.3,57,953.237074
-6858.6,174,953.533036
-1353.1,59,953.601062
-5155.3,137,953.817142
-5406.4,143,953.977664
-1453.1,61,954.101832
-1655.3,67,954.26767
-83.3,16,954.292865
-2356.4,82,954.462026
-2346.5,73,954.62794
-2607.5,88,954.760676
-5306.4,141,954.890262
-1254.2,58,954.985795
-2008.6,77,955.122663
-1906.4,73,955.245083
-344.3,31,955.286673
-397.6,35,955.339355
-1605.3,66,955.470573
-998.7,48,955.533745
-1857.5,73,955.672695
-746.5,41,955.752081
-2005.3,74,955.873094
-694.3,38,955.918963
-1054.2,54,955.996721
-11508.6,267,958.922409
-6508.6,167,959.204817
-3256.4,100,959.346278
-1854.2,70,959.46618
-347.6,34,959.517596
-5407.5,144,959.675332
-1353.1,59,959.76391
-1052.0,52,959.869471
-2853.1,89,960.053458
-2953.1,91,960.18699
-702.0,45,960.242167
-2806.4,91,960.362836
-4458.6,126,960.483442
-2205.3,78,960.601153
-1456.4,64,960.72581
-596.5,38,960.759341
-2854.2,90,960.844337
-2255.3,79,960.950761
-548.7,39,961.029292
-3507.5,106,961.172715
-3354.2,100,961.276006
-753.1,47,961.322818
-492.1,32,961.366835
-4258.6,122,963.953461
-4607.5,128,964.075893
-1099.8,51,964.143821
-699.8,43,964.235723
-448.7,37,964.324566
-1598.7,60,964.451908
-1399.8,57,964.551131
-1452.0,60,964.673355
-16408.6,365,965.097176
-646.5,39,965.149807
-1452.0,60,965.255234
-2457.5,85,965.384253
-291.0,27,965.405115
-1000.9,50,965.450295
-496.5,36,965.502426
-395.4,33,965.583141
-2405.3,82,965.749357
-1704.2,67,965.856683
-1102.0,53,965.949612
-1652.0,64,966.060221
-494.3,34,966.115775
-397.6,35,966.167292
-500.9,40,966.222048
-6008.6,157,966.405466
-339.9,27,966.433196
-1454.2,62,966.600034
-1754.2,68,966.757723
-234.4,20,966.7848
-297.6,33,966.829321
-1103.1,54,966.904887
-652.0,44,969.031232
-1249.8,54,969.103778
-2756.4,90,969.2079
-1806.4,71,969.276795
-4105.3,116,969.382524
-1204.2,57,969.433401
-848.7,45,969.500961
-1250.9,55,969.590061
-947.6,46,969.638137
-1000.9,50,969.702673
-2156.4,78,969.859843
-696.5,40,969.953659
-545.4,36,970.020683
-3957.5,115,970.254468
-4256.4,120,970.408173
-3906.4,113,970.490098
-597.6,39,970.52151
-1250.9,55,970.572565
-2755.3,89,970.661463
-1202.0,55,970.740942
-42.1,23,970.774619
-1954.2,72,970.924118
-1949.8,68,971.003312
-13758.6,312,971.332143
-998.7,48,971.427603
-1499.8,59,971.532708
-1052.0,52,971.640097
-2755.3,89,973.907972
-799.8,45,973.9631
-3355.3,101,974.077416
-7957.5,195,974.265258
-5008.6,137,974.442261
-6008.6,157,974.739507
-900.9,48,974.827132
-5457.5,145,975.080666
-339.9,27,975.113522
-846.5,43,975.168606
-2254.2,78,975.288426
-1956.4,74,975.364392
-447.6,36,975.411608
-2806.4,91,975.610708
-294.3,30,975.660943
-4258.6,122,975.90099
-950.9,49,975.990854
-2757.5,91,976.074071
-3758.6,112,976.168972
-798.7,44,976.207334
-805.3,50,976.25783
-497.6,37,976.331317
-1102.0,53,976.479403
-288.8,25,976.513619
-1698.7,62,976.604533
-1203.1,56,976.706136
-5908.6,155,979.117729
-1199.8,53,979.181768
-748.7,43,979.24234
-1299.8,55,979.325517
-2052.0,72,979.406166
-949.8,48,979.521316
-598.7,40,979.606454
-1205.3,58,979.711521
-1754.2,68,979.841347
-1502.0,61,979.923841
-997.6,47,979.974222
-1302.0,57,980.086266
-1698.7,62,980.195794
-849.8,46,980.330293
-1354.2,60,980.452559
-899.8,47,980.547745
-2607.5,88,980.618786
-449.8,38,980.652558
-7158.6,180,980.818629
-5558.6,148,980.963005
-4408.6,125,981.083078
-1706.4,69,981.203996
-2454.2,82,981.307762
-852.0,48,981.360853
-396.5,34,981.439578
-1099.8,51,981.593642
-2755.3,89,981.780601
-500.9,40,981.855715
-1298.7,54,981.968354
-1706.4,69,982.118845
-3558.6,108,984.538879
-498.7,38,984.59744
-2855.3,91,984.716096
-1402.0,59,984.78959
-2757.5,91,984.967428
-2202.0,75,985.038666
-893.2,41,985.114853
-3655.3,107,985.237769
-1304.2,59,985.290379
-2255.3,79,985.421208
-3158.6,100,985.567069
-1555.3,65,985.640371
-2855.3,91,985.790113
-497.6,37,985.88354
-1199.8,53,985.995098
-692.1,36,986.064362
-2854.2,90,986.214759
-2905.3,92,986.366071
-196.5,30,986.446239
-1253.1,57,986.567842
-247.6,32,986.620833
-1500.9,60,986.727548
-396.5,34,986.773937
-2006.4,75,986.847057
-2153.1,75,986.992868
-997.6,47,987.078111
-897.6,45,987.190456
-239.9,25,987.241673
-4608.6,129,987.475051
-1004.2,53,987.567451
-2756.4,90,987.705185
-544.3,35,987.757792
-647.6,40,987.863799
-1904.2,71,990.520624
-1807.5,72,990.611736
-1856.4,72,990.682602
-7257.5,181,990.947292
-598.7,40,990.996115
-6507.5,166,991.278926
-2054.2,74,991.461931
-499.8,39,991.506706
-855.3,51,991.573293
-1104.2,55,991.674257
-897.6,45,991.783757
-594.3,36,991.872566
-2050.9,71,992.014845
-900.9,48,992.097587
-89.9,22,992.139888
12.3,18,992.177955
-2755.3,89,992.36383
-1153.1,55,992.444613
-2552.0,82,992.600518
-1904.2,71,992.716237
-1954.2,72,992.801718
-1858.6,74,992.970485
-2657.5,89,993.140177
-850.9,47,993.245737
-1200.9,54,993.345415
-349.8,36,993.41255
-447.6,36,993.484854
-1050.9,51,993.585048
-702.0,45,993.665401
-447.6,36,993.732252
-2405.3,82,993.869747
-2455.3,83,996.326982
-297.6,33,996.377402
-853.1,49,996.449154
-1254.2,58,996.534484
-1556.4,66,996.657184
-444.3,33,996.726197
-1052.0,52,996.847121
-2957.5,95,997.001028
-2055.3,75,997.072312
-1052.0,52,997.123012
-498.7,38,997.232088
-1653.1,65,997.36718
-344.3,31,997.406549
-1403.1,60,997.468045
-3206.4,99,997.547647
-2406.4,83,997.628385
-495.4,35,997.690208
-2657.5,89,997.897683
-596.5,38,997.968166
-2257.5,81,998.092614
-248.7,33,998.129228
-903.1,50,998.209847
-549.8,40,998.300504
61.2,18,998.343653
-1752.0,66,998.421092
-244.3,29,998.449946
-1045.4,46,998.518987
-649.8,42,998.575462
-6858.6,174,998.778207
-7008.6,177,998.938305
-2654.2,86,999.019299
-902.0,49,999.117456
-291.0,27,999.183968
-650.9,43,999.285215
-445.4,34,1001.509892
-2707.5,90,1001.642624
-1200.9,54,1001.715443
-849.8,46,1001.808378
-549.8,40,1001.899033
-1107.5,58,1001.986876
-242.1,27,1002.023288
-795.4,41,1002.066943
-852.0,48,1002.113097
-3606.4,107,1002.245492
-797.6,43,1002.33111
-5258.6,142,1002.522469
-697.6,41,1002.579258
-3405.3,102,1002.793687
-4207.5,120,1002.956876
-1302.0,57,1003.051193
-2957.5,95,1003.191873
-1402.0,59,1003.268368
-245.4,30,1003.336737
-1004.2,53,1003.461559
-903.1,50,1003.547683
-894.3,42,1003.625686
-1555.3,65,1003.73608
-845.4,42,1003.81469
-1152.0,54,1003.948589
-3757.5,111,1004.091268
-1353.1,59,1004.148332
-1606.4,67,1004.286286
-1652.0,64,1004.40173
-1655.3,67,1004.464414
-841.0,38,1004.502072
-1250.9,55,1004.600897
-900.9,48,1004.709848
-1708.6,71,1007.065012
-1503.1,62,1007.143798
-854.2,50,1007.212566
-4305.3,120,1007.324745
-1455.3,63,1007.422289
-3006.4,95,1007.592578
-1602.0,63,1007.777358
-846.5,43,1007.835736
-3757.5,111,1007.972216
-2254.2,78,1008.111092
-1553.1,63,1008.220841
-2507.5,86,1008.352115
-4256.4,120,1008.504706
-1450.9,59,1008.549507
-87.7,20,1008.565477
-5107.5,138,1008.717905
-800.9,46,1008.753225
-494.3,34,1008.808825
-1156.4,58,1008.959028
-44.3,25,1009.031677
-693.2,37,1009.11593
-1105.3,56,1009.198441
-5507.5,146,1009.309394
-3356.4,102,1009.495895
-593.2,35,1009.575984
-798.7,44,1009.637512
-296.5,32,1009.68276
-2203.1,76,1009.842692
-2858.6,94,1009.940609
-850.9,47,1010.029327
-554.2,44,1012.359144
-393.2,31,1012.40334
-795.4,41,1012.452803
-1857.5,73,1012.563439
-1704.2,67,1012.693209
-1096.5,48,1012.802159
-5357.5,143,1013.118511
-2054.2,74,1013.245397
-1555.3,65,1013.378257
-4358.6,124,1013.535701
-145.4,28,1013.564439
-299.8,35,1013.621062
-1002.0,51,1013.717244
-2108.6,79,1013.819537
-900.9,48,1013.91346
-652.0,44,1014.003413
-452.0,40,1014.077532
-847.6,44,1014.160009
-649.8,42,1014.218406
-898.7,46,1014.276314
-1706.4,69,1014.398523
-1353.1,59,1014.533005
-4508.6,127,1014.788645
-800.9,46,1014.87698
-700.9,44,1014.952541
-2404.2,81,1015.050775
-753.1,47,1015.122013
-752.0,46,1015.205828
-1002.0,51,1015.324221
-1504.2,63,1015.460586
-697.6,41,1015.569353
-1303.1,58,1015.693589
-1306.4,61,1015.794272
-649.8,42,1015.868132
-1000.9,50,1018.356531
-3455.3,103,1018.526221
-2755.3,89,1018.656678
-1404.2,61,1018.76878
-799.8,45,1018.84963
-1099.8,51,1018.946768
-1000.9,50,1019.086277
-1455.3,63,1019.235756
7.9,22,1019.273144
-547.6,38,1019.363397
-1904.2,71,1019.508341
-1050.9,51,1019.561537
-2608.6,89,1019.678493
-2255.3,79,1019.807294
-2208.6,81,1019.90184
-1602.0,63,1019.977356
-1355.3,61,1020.080005
-848.7,45,1020.164514
-552.0,42,1020.268266
-245.4,30,1020.302376
-1204.2,57,1020.341922
-798.7,44,1020.378495
-1154.2,56,1020.460057
-1806.4,71,1020.607699
-848.7,45,1020.730258
-3006.4,95,1020.844314
-595.4,37,1020.877799
-3005.3,94,1021.066894
-1602.0,63,1021.176313
-999.8,49,1021.266531
-4007.5,116,1021.507153
-1902.0,69,1021.595685
-1099.8,51,1021.639749
-1400.9,58,1021.722641
-591.0,33,1023.873853
-3207.5,100,1023.989016
-2405.3,82,1024.066333
-1556.4,66,1024.143847
-1955.3,73,1024.275733
-798.7,44,1024.310618
-7257.5,181,1024.544729
-1805.3,70,1024.606659
-346.5,33,1024.651806
-1405.3,62,1024.775792
-1304.2,59,1024.906419
-648.7,41,1024.994299
-1503.1,62,1025.158624
-2906.4,93,1025.341235
-848.7,45,1025.461795
14.5,16,1025.48415
-2554.2,84,1025.575572
-197.6,31,1025.607234
-756.4,50,1025.664482
-1153.1,55,1025.734996
-849.8,46,1025.840139
-594.3,36,1025.909257
-1048.7,49,1026.014883
-2105.3,76,1026.145722
-497.6,37,1026.183879
-1304.2,59,1026.286844
-800.9,46,1026.379097
-1400.9,58,1026.51086
-1603.1,64,1026.612587
-3907.5,114,1026.741176
-2255.3,79,1026.843009
-143.2,26,1026.87516
-1754.2,68,1026.942774
-8558.6,208,1029.513489
-1705.3,68,1029.634888
-752.0,46,1029.746737
-752.0,46,1029.804552
-393.2,31,1029.869682
-4307.5,122,1030.09619
-950.9,49,1030.161812
-1554.2,64,1030.264044
-1153.1,55,1030.393042
-3005.3,94,1030.471766
-900.9,48,1030.511083
-3307.5,102,1030.595507
-497.6,37,1030.632725
-1456.4,64,1030.794867
-2206.4,79,1030.925147
-4206.4,119,1031.135272
-1149.8,52,1031.248655
-850.9,47,1031.309614
-248.7,33,1031.356567
-1448.7,57,1031.455413
-3254.2,98,1031.597566
-1052.0,52,1031.635701
-3408.6,105,1031.819866
-1804.2,69,1031.929376
-5508.6,147,1032.123556
-1856.4,72,1032.287201
-2956.4,94,1032.4675
-446.5,35,1034.759437
-850.9,47,1034.843767
-2106.4,77,1034.946388
-753.1,47,1035.039778
-2704.2,87,1035.221769
-3203.1,96,1035.3825
-2203.1,76,1035.445517
-2457.5,85,1035.530771
-142.1,25,1035.552303
-1048.7,49,1035.592734
-1449.8,58,1035.643449
-547.6,38,1035.673954
-1755.3,69,1035.735506
-1000.9,50,1035.777598
-346.5,33,1035.812909
-5207.5,140,1035.959603
-2254.2,78,1036.051117
-3255.3,99,1036.139466
-1302.0,57,1036.199912
-5058.6,138,1036.315111
-1305.3,60,1036.36443
-854.2,50,1036.40621
-3507.5,106,1036.519659
-1352.0,58,1036.615154
-1250.9,55,1036.712603
-1047.6,48,1036.76493
-1099.8,51,1036.841442
-797.6,43,1036.955945
-1000.9,50,1037.094073
-948.7,47,1037.175131
-2555.3,85,1037.285671
-1754.2,68,1039.726552
-1907.5,74,1039.841935
-1652.0,64,1039.934757
-1356.4,62,1040.083513
-2254.2,78,1040.226825
-3906.4,113,1040.419444
-1304.2,59,1040.551443
-2304.2,79,1040.642078
-447.6,36,1040.674499
-1952.0,70,1040.757154
-6606.4,167,1040.947477
-1752.0,66,1041.011738
-1602.0,63,1041.065814
-2308.6,83,1041.167713
-496.5,36,1041.234705
-2455.3,83,1041.402045
-446.5,35,1041.496568
-847.6,44,1041.606156
-1304.2,59,1041.718506
-2708.6,91,1041.822243
